학교ID,학교명,학교급구분,위도,경도,시도명,시군구명,읍면동명,현행_농어촌,α1_학원수,β1_최단광역접근시간,β2_광역접근가능시설수,γ1_학령인구10대,δ1_사교육비,δ3_참여율,α1_학원수_norm,β1_최단광역접근시간_norm,β2_광역접근가능시설수_norm,γ1_학령인구10대_norm,δ1_사교육비_norm,δ3_참여율_norm,E_s,G_괴리도
B000011765,김해한일여자고등학교,고등학교,35.23924195,128.9166756,경상남도,김해시,안동,0,1596,37.49,0.01,2547,35.1,58.3,0.4608720762344788,0.7427979834353619,0.0017513134851138354,0.1667757988475642,0.13692946058091282,0.22408026755852828,0.2888678166903266,0.711
B000010288,용안중학교,중학교,36.11646976,126.9529583,전북특별자치도,익산시,용안면,1,630,33.02,0.5,92,37.4,64.9,0.18192318798729426,0.7830392509902773,0.08756567425569177,0.006024096385542169,0.18464730290456421,0.44481605351170583,0.2813359276725126,0.281
B000011503,한국디지털미디어고등학교,고등학교,37.3423166,126.8309423,경기도,안산시 단원구,와동,0,0,42.14,0.0,3159,57.3,67.5,0.0,0.700936262153403,0.0,0.2068491356731273,0.5975103734439834,0.5317725752508362,0.3395113910868916,0.66
B000011246,제주대학교사범대학부설중학교,중학교,33.51592494,126.5085016,제주특별자치도,제주시,용담삼동,0,1317,20.84,0.96,1304,37.0,69.0,0.38030609298296275,0.8926899531868924,0.1681260945709282,0.08538501833420639,0.17634854771784225,0.5819397993311035,0.3807992510206559,0.619
B000009456,서신중학교,중학교,37.1695636,126.7005959,경기도,화성시,서신면,1,3463,49.91,0.41,262,48.2,75.6,1.0,0.6309866762693555,0.07180385288966724,0.01715557883708748,0.4087136929460581,0.8026755852842806,0.4885558977044081,0.489
B000008609,재송여자중학교,중학교,35.18984281,129.1310174,부산광역시,해운대구,재송동,0,1401,15.26,1.31,0,47.4,72.2,0.40456251804793536,0.942924018725243,0.22942206654991246,0.0,0.39211618257261405,0.6889632107023413,0.44299799943300766,0.557
B000010582,강진대구중학교,중학교,34.49283075,126.8000594,전라남도,강진군,대구면,1,34,63.0,0.0,36,33.6,63.7,0.009818076812012706,0.5131436802304645,0.0,0.002357255107386066,0.10580912863070535,0.4046822742474918,0.1726350691713434,0.173
B000010570,대덕중학교,중학교,34.49990283,126.8957904,전라남도,장흥군,대덕읍,1,28,41.13,0.14,134,33.6,63.7,0.008085475021657523,0.7100288080662586,0.0245183887915937,0.008774227344159245,0.10580912863070535,0.4046822742474918,0.21031638368364436,0.21
B000012385,유성여자고등학교,고등학교,36.38458956,127.3289254,대전광역시,유성구,죽동,0,1155,34.94,0.09,2895,48.6,63.9,0.3335258446433728,0.7657544112351459,0.01576182136602452,0.18956259821896282,0.41701244813278004,0.4113712374581937,0.3554980601757466,0.645
B000023868,솔강중학교,중학교,36.61783455,127.3095735,충청북도,청주시 흥덕구,오송읍,1,0,27.31,1.04,4077,35.3,68.9,0.0,0.8344436442203818,0.18213660245183888,0.266959140911472,0.1410788381742738,0.5785953177257526,0.3338689239139532,0.334
